County,Eligible,Total Registered,Democratic,Republican,American Independent,Green,Libertarian,Peace and Freedom,Unknown,Other,No Party Preference,FIPS,Party
Alameda,1140774,931130,562093,100977,21621,5628,6351,4340,26,5686,224408,06001,Democratic
Alpine,1015,915,388,216,50,8,18,3,2,3,227,06003,Democratic
Amador,29593,25954,7065,12251,1427,109,516,81,32,128,4345,06005,Republican
Butte,164755,123935,43407,44362,5920,759,2037,633,896,1051,24870,06007,Republican
Calaveras,36563,32172,8529,14857,1872,159,610,129,120,304,5592,06009,Republican
Colusa,13214,10144,3214,4062,376,29,141,64,2,17,2239,06011,Republican
Contra Costa,803842,701969,377431,127353,24325,3064,6412,3219,2787,1462,155916,06013,Democratic
Del Norte,19219,14943,4505,5914,862,103,232,94,8,42,3183,06015,Republican
El Dorado,145060,138537,42789,55809,7078,736,2741,462,12,1093,27817,06017,Republican
Fresno,642412,500076,197395,160170,20019,1750,5271,3156,2983,5280,104052,06019,Democratic
Glenn,18865,14346,4019,6420,651,44,184,81,12,60,2875,06021,Republican
Humboldt,107016,84756,39399,19989,3332,1425,1271,527,541,698,17574,06023,Democratic
Imperial,109738,86942,41600,18237,2627,287,688,798,968,434,21303,06025,Democratic
Inyo,14619,10729,3668,4183,487,25,155,47,82,107,1975,06027,Republican
Kern,561276,435872,152390,158011,19052,1332,5552,3045,4868,2291,89331,06029,Republican
Kings,86806,61535,20670,23956,2524,190,809,380,400,323,12283,06031,Republican
Lake,51231,37154,14133,11355,2082,319,515,287,98,164,8201,06033,Democratic
Lassen,21275,14757,2515,8237,934,46,248,70,15,86,2606,06035,Republican
Los Angeles,6658099,5601835,2996565,958851,165091,24442,46827,37396,41669,39508,1291486,06037,Democratic
Madera,93789,72865,24091,28104,3264,249,867,532,571,484,14703,06039,Republican
Marin,185951,170545,106169,20955,5002,1063,1411,372,509,953,34111,06041,Democratic
Mariposa,13813,11558,3211,5291,579,62,163,45,34,115,2058,06043,Republican
Mendocino,67114,53105,25897,11181,2327,804,753,383,287,106,11367,06045,Democratic
Merced,172198,124659,53451,35401,5142,458,1383,951,170,645,27058,06047,Democratic
Modoc,6740,5197,1056,2858,308,16,69,21,6,16,847,06049,Republican
Mono,9399,7710,3088,2288,318,58,112,41,3,32,1770,06051,Democratic
Monterey,251193,209045,109843,41118,6841,1030,2046,1212,2157,317,44481,06053,Democratic
Napa,97321,83480,42194,17701,3307,482,1033,333,571,430,17429,06055,Democratic
Nevada,81891,74488,29593,23863,3449,709,1263,299,33,4061,11218,06057,Democratic
Orange,2203252,1817583,682547,601852,63438,6153,21677,7868,1902,4927,427219,06059,Democratic
Placer,301467,279016,88405,112111,12558,1011,5229,748,1572,1881,55501,06061,Republican
Plumas,15245,13848,3899,6142,794,62,204,61,9,53,2624,06063,Republican
Riverside,1637165,1310505,531203,410544,56594,4618,15185,8056,4129,11727,268449,06065,Democratic
Sacramento,1112665,865225,397482,214331,35858,3996,11428,5360,4543,5975,186252,06067,Democratic
San Benito,43559,37750,18058,9687,1417,153,444,202,35,163,7591,06069,Democratic
San Bernardino,1472696,1138818,470494,332534,51869,4337,12710,8773,5107,10538,242456,06071,Democratic
San Diego,2349554,1924634,798990,518907,78630,7765,24054,9406,8549,7013,471320,06073,Democratic
San Francisco,660132,498197,314227,33573,9302,2873,3110,1911,4346,3248,125607,06075,Democratic
San Joaquin,509377,388635,170362,107957,15535,1290,4187,2753,3077,2901,80573,06077,Democratic
San Luis Obispo,221071,182340,69908,62461,7659,1012,2625,631,1233,1208,35603,06079,Democratic
San Mateo,515759,432734,243202,60113,11360,1832,3269,1482,2421,2882,106173,06081,Democratic
Santa Barbara,303842,237759,112373,58283,8771,1196,2639,1180,1702,1635,49980,06083,Democratic
Santa Clara,1259821,1009422,515886,165780,26222,4001,8616,4553,247,2941,281176,06085,Democratic
Santa Cruz,197659,167442,100324,22900,4847,1518,1959,777,195,1248,33674,06087,Democratic
Shasta,138293,111628,25338,55421,5845,457,1784,496,76,797,21414,06089,Republican
Sierra,2673,2219,590,986,129,14,33,2,1,42,422,06091,Republican
Siskiyou,34986,28725,8351,11849,1627,184,482,154,225,74,5779,06093,Republican
Solano,318503,260358,127526,57257,10162,1082,2968,1460,729,1524,57650,06095,Democratic
Sonoma,356905,304017,172675,52709,10428,2364,3703,1240,2111,1745,57042,06097,Democratic
Stanislaus,363595,282393,109731,96798,11714,909,3309,1688,1941,2315,53988,06099,Democratic
Sutter,65666,52896,16406,21229,2298,144,717,285,341,4900,6576,06101,Republican
Tehama,46966,37131,8764,17465,2086,45,538,188,38,351,7656,06103,Republican
Trinity,13168,7309,2299,2659,417,77,135,53,63,62,1544,06105,Republican
Tulare,287885,208863,69963,77554,9109,666,2483,1438,1680,1565,44405,06107,Republican
Tuolumne,43682,35355,10273,15551,1938,146,626,140,10,60,6611,06109,Republican
Ventura,584861,505110,220831,141866,19171,2066,5706,2273,2958,5634,104605,06111,Democratic
Yolo,155109,118797,60978,23430,4181,707,1290,564,9,160,27478,06113,Democratic
Yuba,56463,41212,11805,16175,2326,165,671,294,380,393,9003,06115,Republican
State Total,26876800,21940274,10283258,5232094,777152,96229,231459,123037,109491,143858,4943696,Democratic
